index,date,open,low,high,close,open,low,high,close,vol,y-1day_high
sz50, 2004/01/02,997,993.89,1021.57,1011.35,997,993.89,1021.57,1011.35,8064652,1060.9
, 2004/01/05,1008.28,1008.28,1060.9,1060.8,1008.28,1008.28,1060.9,1060.8,14468180,1086.69
, 2004/01/06,1059.14,1059.09,1086.69,1075.66,1059.14,1059.09,1086.69,1075.66,16991334,1095.84
, 2004/01/07,1075.56,1070.98,1095.84,1086.3,1075.56,1070.98,1095.84,1086.3,13729419,1108.29
, 2004/01/08,1087.68,1082.51,1108.29,1102.66,1087.68,1082.51,1108.29,1102.66,10780427,1115.46
, 2004/01/09,1105.77,1079.07,1115.46,1081.79,1105.77,1079.07,1115.46,1081.79,13467442,1117.51
, 2004/01/12,1081.81,1079.77,1117.51,1116.8,1081.81,1079.77,1117.51,1116.8,10233943,1123.66
, 2004/01/13,1120.15,1089.63,1123.66,1102.34,1120.15,1089.63,1123.66,1102.34,9837189,1101.67
, 2004/01/14,1101.44,1076.87,1101.67,1079.72,1101.44,1076.87,1101.67,1079.72,7120499,1088.67
, 2004/01/15,1078.53,1070.73,1088.67,1073.98,1078.53,1070.73,1088.67,1073.98,6179207,1087.82
, 2004/01/16,1076.64,1067.85,1087.82,1083.65,1076.64,1067.85,1087.82,1083.65,7174167,1101.03
, 2004/01/29,1086.66,1084.45,1101.03,1100.6,1086.66,1084.45,1101.03,1100.6,5791230,1103.7
, 2004/01/30,1102.17,1066.44,1103.7,1067.55,1102.17,1066.44,1103.7,1067.55,7761118,1116.31
, 2004/02/02,1107.49,1069.97,1116.31,1091.73,1107.49,1069.97,1116.31,1091.73,15432922,1103.24
, 2004/02/03,1091.86,1084.39,1103.24,1102.95,1091.86,1084.39,1103.24,1102.95,8411107,1130.14
, 2004/02/04,1104.74,1104.74,1130.14,1128.44,1104.74,1104.74,1130.14,1128.44,10534990,1136.42
, 2004/02/05,1135.62,1118.17,1136.42,1127.9,1135.62,1118.17,1136.42,1127.9,9774314,1139.09
, 2004/02/06,1125.49,1108.91,1139.09,1122.08,1125.49,1108.91,1139.09,1122.08,11140337,1134.91
, 2004/02/09,1122.29,1122.28,1134.91,1134.61,1122.29,1122.28,1134.91,1134.61,8598305,1141.99
, 2004/02/10,1137.72,1116.93,1141.99,1120.96,1137.72,1116.93,1141.99,1120.96,8662780,1123.77
