volume_size,volume_used_size,fs_type,file_count,total_memory,free_memory,shared_memory,cached_memory,cpu_count,average_cpu_usage_on_previous_one_minute,average_cpu_usage_on_previous_five_minute,average_cpu_usage_on_previous_fifteen_minute,num_extents,num_bytes_read,num_bytes_write,square_sum_head_move,square_sum_read,backup_elapsed_time
99G,8.5G,ext3,178,3.7G,513M,40M,3.0G,2,0,0.01,0.05,6064,-185597952,12699303936,4.06216E+11,4.06283E+11,101754100
99G,3.8G,ext4,83,3.7G,3.2G,40M,295M,2,0.8,0.29,0.14,14,11534336,12699303936,207618048,274726912,50622
9.8G,4.7G,ext3,11,3.7G,3.2G,40M,295M,2,0.91,0.39,0.18,14,11534336,12699303936,207618048,274726912,38682
9.8G,4.6G,ext4,100,3.7G,3.2G,40M,295M,2,0.91,0.48,0.22,14,11534336,12699303936,207618048,274726912,38855
976M,870M,ext3,6,3.7G,3.2G,40M,306M,2,0.89,0.57,0.27,14,11534336,12699303936,207618048,274726912,49219
976M,449M,ext4,9,3.7G,3.2G,40M,316M,2,0.8,0.57,0.28,14,11534336,12699303936,207618048,274726912,35559
20G,9.2G,ext3,194,3.7G,3.2G,40M,316M,2,0.76,0.57,0.29,14,11534336,12699303936,207618048,274726912,39805
20G,9.1G,ext4,189,3.7G,3.2G,40M,294M,2,0.87,0.65,0.35,14,11534336,12699303936,207618048,274726912,57325
2.0G,924M,ext3,24,3.7G,3.2G,40M,304M,2,0.79,0.67,0.39,14,11534336,12699303936,207618048,274726912,38441
2.0G,909M,ext4,20,3.7G,3.2G,40M,315M,2,0.94,0.72,0.42,14,11534336,12699303936,207618048,274726912,45574
50G,4.3G,ext3,97,3.7G,3.2G,40M,315M,2,0.89,0.73,0.43,14,11534336,12699303936,207618048,274726912,39729
50G,8.9G,ext4,200,3.7G,3.2G,40M,296M,2,0.84,0.73,0.45,14,11534336,12699303936,207618048,274726912,50554
4.8G,2.3G,ext3,53,3.7G,3.2G,48M,304M,2,0.93,0.8,0.51,14,11534336,12699303936,207618048,274726912,45839
4.8G,2.3G,ext4,49,3.7G,3.2G,48M,315M,2,0.93,0.82,0.54,14,11534336,12699303936,207618048,274726912,47658
