00-Cfg,00-Index,01-Date,02-Open,03-Low,04-High,05-Close,06-Buy,07-Sell,08-Profit,09-Actual,10-Prediction,11-Pred_Result,12-Deal
"[rnn]
rnn_number = 1
dense_number = 1
rnn_unit = 168
op = 1.3
lr = 0.001
dropout_in = 0
dropout_out = 0
val_rate = 0.1
batch_size = 60
iterations = 250

[data]
train_begin = 10
train_end = 3000
test_begin = 3001
test_end = 3450
index_size = 6
input_size = 5
label = 0
nextdays = 1
time_step = 10

[nor]
nor_method = 0
nor_method_plus = 0
mm_customize = 0
nor_len_set = 1
nor_shift_len = 3

[file]
train_file = sz50.csv
test_file = sz50.csv
model_output = sz50
model_input = sz50

[other]
pred_method = 4
output_size = 1
random = 0",, 2016/05/11,2078.29,2068.65,2089.12,2078.41,0.0,0.0,0.0,0.0,0.0,Pred method:4,
,, 2016/05/12,2067.75,2055.51,2089.65,2084.84,0.0,0.0,0.0,0.0,0.0,Nor method:0,
,, 2016/05/13,2079.64,2072.26,2089.84,2076.19,0.0,0.0,0.0,0.0,0.0,Nor plus?: No,
,, 2016/05/16,2068.92,2064.68,2082.86,2082.62,0.0,0.0,0.0,0.0,0.0,Nor len set:1,
,, 2016/05/17,2081.57,2069.27,2083.85,2075.47,0.0,0.0,0.0,0.0,0.0,Accuracy:0.007699465017630461,
,, 2016/05/18,2067.72,2053.72,2081.85,2078.76,0.0,0.0,0.0,0.0,0.0,,
,, 2016/05/19,2072.37,2069.9,2083.13,2073.8,0.0,0.0,0.0,0.0,0.0,,
,, 2016/05/20,2067.46,2064.44,2083.51,2083.12,0.0,0.0,0.0,0.0,0.0,,
,, 2016/05/23,2082.97,2077.94,2095.17,2082.41,0.0,0.0,0.0,0.0,0.0,,
,, 2016/05/24,2080.01,2062.5,2080.07,2066.64,0.0,0.0,0.0,2084.13,2074.53857421875,,
,, 2016/05/25,2079.48,2068.68,2084.13,2071.91,0.0,0.0,0.0,2083.06,2078.2666015625,,
,, 2016/05/26,2070.24,2062.17,2083.06,2076.14,0.0,0.0,0.0,2080.49,2082.723876953125,,
,, 2016/05/27,2075.21,2069.52,2080.49,2074.92,0.0,0.0,0.0,2093.77,2080.44921875,,
,, 2016/05/30,2076.93,2065.64,2093.77,2092.16,0.0,0.0,0.0,2158.12,2096.34814453125,,
,, 2016/05/31,2092.22,2092.22,2158.12,2155.66,0.0,0.0,0.0,2158.72,2167.07177734375,,
,, 2016/06/01,2155.5,2138.56,2158.72,2138.96,0.0,0.0,0.0,2144.32,2154.005859375,,
,, 2016/06/02,2138.21,2129.94,2144.32,2137.65,0.0,0.0,0.0,2157.07,2147.717529296875,,
,, 2016/06/03,2146.56,2135.53,2157.07,2152.64,0.0,0.0,0.0,2151.06,2167.924072265625,,
,, 2016/06/06,2148.96,2131.92,2151.06,2136.32,0.0,0.0,0.0,2145.71,2148.30615234375,,
,, 2016/06/07,2141.65,2134.61,2145.71,2139.07,0.0,0.0,0.0,2138.85,2150.443115234375,,
,, 2016/06/08,2137.18,2124.84,2138.85,2132.96,0.0,0.0,0.0,2122.46,2142.158203125,,
,, 2016/06/13,2113.91,2083.29,2122.46,2084.3,0.0,0.0,0.0,2098.06,2093.229736328125,,
,, 2016/06/14,2080.9,2079.4,2098.06,2095.02,0.0,0.0,0.0,2115.38,2104.011962890625,,
,, 2016/06/15,2073.47,2073.1,2115.38,2106.63,0.0,0.0,0.0,2105.25,2116.656005859375,,
,, 2016/06/16,2095.36,2091.49,2105.25,2094.81,0.0,0.0,0.0,2115.42,2107.566650390625,,
,, 2016/06/17,2093.69,2093.69,2115.42,2102.2,0.0,0.0,0.0,2110.89,2114.57763671875,,
,, 2016/06/20,2109.57,2092.83,2110.89,2104.22,0.0,0.0,0.0,2130.9,2113.292724609375,,
,, 2016/06/21,2108.87,2100.06,2130.9,2104.56,0.0,0.0,0.0,2116.3,2118.35400390625,,
,, 2016/06/22,2101.05,2098.63,2116.3,2115.77,0.0,0.0,0.0,2114.77,2126.685302734375,,
,, 2016/06/23,2114.77,2098.36,2114.77,2105.53,0.0,0.0,0.0,2112.61,2114.899658203125,,
,, 2016/06/24,2100.0,2052.98,2112.61,2076.3,0.0,0.0,0.0,2096.2,2084.05126953125,,
,, 2016/06/27,2070.94,2070.82,2096.2,2095.89,0.0,0.0,0.0,2104.48,2105.595703125,,
,, 2016/06/28,2089.35,2084.18,2104.48,2102.05,0.0,0.0,0.0,2124.29,2111.500244140625,,
,, 2016/06/29,2105.76,2104.23,2124.29,2122.97,0.0,0.0,0.0,2130.98,2136.46142578125,,
,, 2016/06/30,2123.87,2120.41,2130.98,2122.63,0.0,0.0,0.0,2133.35,2135.710693359375,,
,, 2016/07/01,2124.4,2122.87,2133.35,2127.09,0.0,0.0,0.0,2169.62,2138.573486328125,,
,, 2016/07/04,2121.9,2120.49,2169.62,2163.29,0.0,0.0,0.0,2174.42,2180.821044921875,,
,, 2016/07/05,2162.09,2159.9,2174.42,2168.86,0.0,0.0,0.0,2169.46,2188.4765625,,
,, 2016/07/06,2161.58,2149.04,2169.46,2167.1,0.0,0.0,0.0,2173.7,2179.236328125,,
,, 2016/07/07,2161.36,2153.77,2173.7,2166.88,0.0,0.0,0.0,2158.77,2181.591796875,,
,, 2016/07/08,2156.38,2147.14,2158.77,2148.76,0.0,0.0,0.0,2175.24,2160.66455078125,,
,, 2016/07/11,2152.74,2150.37,2175.24,2155.72,0.0,0.0,0.0,2201.63,2172.862060546875,,
,, 2016/07/12,2156.63,2156.59,2201.63,2200.35,0.0,0.0,0.0,2222.25,2221.03759765625,,
,, 2016/07/13,2195.98,2191.59,2222.25,2197.79,0.0,0.0,0.0,2199.84,2223.45849609375,,
,, 2016/07/14,2195.34,2184.49,2199.84,2195.23,0.0,0.0,0.0,2200.88,2208.013671875,,
,, 2016/07/15,2196.95,2186.36,2200.88,2192.39,0.0,0.0,0.0,2205.8,2207.2841796875,,
,, 2016/07/18,2190.47,2184.05,2205.8,2187.98,0.0,0.0,0.0,2193.57,2210.088134765625,,
,, 2016/07/19,2188.8,2163.31,2193.57,2175.4,0.0,0.0,0.0,2178.0,2189.656005859375,,
,, 2016/07/20,2173.55,2163.11,2178.0,2167.12,0.0,0.0,0.0,2185.62,2179.833251953125,,
,, 2016/07/21,2168.48,2168.48,2185.62,2177.78,0.0,0.0,0.0,2177.44,2191.59521484375,,
